inv,product_desc,qty,invoicedate,raw_price,provider,country_name
536370,ALARM CLOCK BAKELIKE PINK,24,2010-01-12T08:45:00,3.75,12583,France
536370,ALARM CLOCK BAKELIKE RED ,24,2010-01-12T08:45:00,3.75,12583,France
536370,ALARM CLOCK BAKELIKE GREEN,12,2010-01-12T08:45:00,3.75,12583,France
536370,PANDA AND BUNNIES STICKER SHEET,12,2010-01-12T08:45:00,0.85,12583,France
536370,STARS GIFT TAPE ,24,2010-01-12T08:45:00,0.65,12583,France
536370,INFLATABLE POLITICAL GLOBE ,48,2010-01-12T08:45:00,0.85,12583,France
536370,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-01-12T08:45:00,1.25,12583,France
536370,SET/2 RED RETROSPOT TEA TOWELS ,18,2010-01-12T08:45:00,2.95,12583,France
536370,ROUND SNACK BOXES SET OF4 WOODLAND ,24,2010-01-12T08:45:00,2.95,12583,France
536370,SPACEBOY LUNCH BOX ,24,2010-01-12T08:45:00,1.95,12583,France
536370,LUNCH BOX I LOVE LONDON,24,2010-01-12T08:45:00,1.95,12583,France
536370,CIRCUS PARADE LUNCH BOX ,24,2010-01-12T08:45:00,1.95,12583,France
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-01-12T08:45:00,0.85,12583,France
536370,RED TOADSTOOL LED NIGHT LIGHT,24,2010-01-12T08:45:00,1.65,12583,France
536370, SET 2 TEA TOWELS I LOVE LONDON ,24,2010-01-12T08:45:00,2.95,12583,France
536370,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-01-12T08:45:00,3.75,12583,France
536370,MINI JIGSAW CIRCUS PARADE ,24,2010-01-12T08:45:00,0.42,12583,France
536370,MINI JIGSAW SPACEBOY,24,2010-01-12T08:45:00,0.42,12583,France
536370,MINI PAINT SET VINTAGE ,36,2010-01-12T08:45:00,0.65,12583,France
536370,POSTAGE,3,2010-01-12T08:45:00,18,12583,France
536389,CHRISTMAS LIGHTS 10 REINDEER,6,2010-01-12T10:03:00,8.5,12431,Australia
536389,VINTAGE UNION JACK CUSHION COVER,8,2010-01-12T10:03:00,4.95,12431,Australia
536389,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-01-12T10:03:00,1.25,12431,Australia
536389,SET OF 3 COLOURED  FLYING DUCKS,6,2010-01-12T10:03:00,5.45,12431,Australia
536389,SET OF 3 GOLD FLYING DUCKS,4,2010-01-12T10:03:00,6.35,12431,Australia
536389,RED RETROSPOT UMBRELLA,6,2010-01-12T10:03:00,5.95,12431,Australia
536389,BLACK/BLUE POLKADOT UMBRELLA,3,2010-01-12T10:03:00,5.95,12431,Australia
536389,RED DINER WALL CLOCK,2,2010-01-12T10:03:00,8.5,12431,Australia
536389,ALARM CLOCK BAKELIKE GREEN,4,2010-01-12T10:03:00,3.75,12431,Australia
536389,ALARM CLOCK BAKELIKE RED ,4,2010-01-12T10:03:00,3.75,12431,Australia
536389,BLUE DINER WALL CLOCK,2,2010-01-12T10:03:00,8.5,12431,Australia
536389,IVORY DINER WALL CLOCK,2,2010-01-12T10:03:00,8.5,12431,Australia
536389,LARGE HEART MEASURING SPOONS,24,2010-01-12T10:03:00,1.65,12431,Australia
536389,SMALL HEART MEASURING SPOONS,24,2010-01-12T10:03:00,0.85,12431,Australia
536403,HAND WARMER BIRD DESIGN,96,2010-01-12T11:27:00,1.85,12791,Netherlands
536403,POSTAGE,1,2010-01-12T11:27:00,15,12791,Netherlands
536527,SET OF 6 T-LIGHTS SANTA,6,2010-01-12T13:04:00,2.95,12662,Germany
536527,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2010-01-12T13:04:00,2.55,12662,Germany
536527,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-01-12T13:04:00,0.85,12662,Germany
536527,5 HOOK HANGER MAGIC TOADSTOOL,12,2010-01-12T13:04:00,1.65,12662,Germany
536527,3 HOOK HANGER MAGIC GARDEN,12,2010-01-12T13:04:00,1.95,12662,Germany
536527,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2010-01-12T13:04:00,1.65,12662,Germany
536527,ASSORTED COLOUR LIZARD SUCTION HOOK,24,2010-01-12T13:04:00,0.42,12662,Germany
